concept,type,df_count,df_fraction,status
collaborative approach,SURFACE,14,0.35,KEPT
confirm,SURFACE,14,0.35,KEPT
dedication,SURFACE,14,0.35,KEPT
dialogue,SURFACE,14,0.35,KEPT
identification,SURFACE,14,0.35,KEPT
influence,SURFACE,14,0.35,KEPT
long-term,SURFACE,14,0.35,KEPT
manifestations,SURFACE,14,0.35,KEPT
markers,SURFACE,14,0.35,KEPT
moving,SURFACE,14,0.35,KEPT
mutations,SURFACE,14,0.35,KEPT
parents,SURFACE,14,0.35,KEPT
patient’s condition,SURFACE,14,0.35,KEPT
review,SURFACE,14,0.35,KEPT
structural,SURFACE,14,0.35,KEPT
syndromes,SURFACE,14,0.35,KEPT
abnormal,SURFACE,13,0.325,KEPT
accurate,SURFACE,13,0.325,KEPT
adjustments,SURFACE,13,0.325,KEPT
aligns,SURFACE,13,0.325,KEPT
clinical features,SURFACE,13,0.325,KEPT
combination,SURFACE,13,0.325,KEPT
consistent with,SURFACE,13,0.325,KEPT
diagnosed,SURFACE,13,0.325,KEPT
diagnostic plan,SURFACE,13,0.325,KEPT
elevated,SURFACE,13,0.325,KEPT
engagement,SURFACE,13,0.325,KEPT
finalizing,SURFACE,13,0.325,KEPT
genetics,SURFACE,13,0.325,KEPT
immediate,SURFACE,13,0.325,KEPT
lesions,SURFACE,13,0.325,KEPT
metabolic,SURFACE,13,0.325,KEPT
overlap,SURFACE,13,0.325,KEPT
patient’s,SURFACE,13,0.325,KEPT
risk,SURFACE,13,0.325,KEPT
supervisor,SURFACE,13,0.325,KEPT
vital,SURFACE,13,0.325,KEPT
analyses,SURFACE,12,0.3,KEPT
anomalies,SURFACE,12,0.3,KEPT
clarification,SURFACE,12,0.3,KEPT
clinical findings,SURFACE,12,0.3,KEPT
consideration,SURFACE,12,0.3,KEPT
context,SURFACE,12,0.3,KEPT
identified,SURFACE,12,0.3,KEPT
imaging studies,SURFACE,12,0.3,KEPT
interventions,SURFACE,12,0.3,KEPT
issues,SURFACE,12,0.3,KEPT
lack,SURFACE,12,0.3,KEPT
mention,SURFACE,12,0.3,KEPT
nature,SURFACE,12,0.3,KEPT
outlined,SURFACE,12,0.3,KEPT
pathology,SURFACE,12,0.3,KEPT
pertinent,SURFACE,12,0.3,KEPT
physical examination,SURFACE,12,0.3,KEPT
please,SURFACE,12,0.3,KEPT
priority,SURFACE,12,0.3,KEPT
structured approach,SURFACE,12,0.3,KEPT
thoughtful contributions,SURFACE,12,0.3,KEPT
time,SURFACE,12,0.3,KEPT
care,SURFACE,11,0.275,KEPT
cause,SURFACE,11,0.275,KEPT
characteristics,SURFACE,11,0.275,KEPT
communication,SURFACE,11,0.275,KEPT
details,SURFACE,11,0.275,KEPT
developmental,SURFACE,11,0.275,KEPT
engaging,SURFACE,11,0.275,KEPT
factors,SURFACE,11,0.275,KEPT
function,SURFACE,11,0.275,KEPT
level,SURFACE,11,0.275,KEPT
modifications,SURFACE,11,0.275,KEPT
panels,SURFACE,11,0.275,KEPT
primary diagnosis,SURFACE,11,0.275,KEPT
progression,SURFACE,11,0.275,KEPT
response,SURFACE,11,0.275,KEPT
syndrome,SURFACE,11,0.275,KEPT
team,SURFACE,11,0.275,KEPT
thoroughness,SURFACE,11,0.275,KEPT
admitted,SURFACE,10,0.25,KEPT
association,SURFACE,10,0.25,KEPT
check,SURFACE,10,0.25,KEPT
conclusions,SURFACE,10,0.25,KEPT
diagnosing,SURFACE,10,0.25,KEPT
diagnostic considerations,SURFACE,10,0.25,KEPT
diagnostic pathway,SURFACE,10,0.25,KEPT
doctor2,SURFACE,10,0.25,KEPT
early,SURFACE,10,0.25,KEPT
expertise,SURFACE,10,0.25,KEPT
familial,SURFACE,10,0.25,KEPT
female,SURFACE,10,0.25,KEPT
group,SURFACE,10,0.25,KEPT
i look forward,SURFACE,10,0.25,KEPT
i'm,SURFACE,10,0.25,KEPT
inflammatory,SURFACE,10,0.25,KEPT
management plan,SURFACE,10,0.25,KEPT
nuances,SURFACE,10,0.25,KEPT
patient's case,SURFACE,10,0.25,KEPT
persistent,SURFACE,10,0.25,KEPT
perspective,SURFACE,10,0.25,KEPT
proposal,SURFACE,10,0.25,KEPT
recommendation,SURFACE,10,0.25,KEPT
recurrent,SURFACE,10,0.25,KEPT
share,SURFACE,10,0.25,KEPT
significant,SURFACE,10,0.25,KEPT
structural abnormalities,SURFACE,10,0.25,KEPT
terminate,SURFACE,10,0.25,KEPT
vigilant,SURFACE,10,0.25,KEPT
visualize,SURFACE,10,0.25,KEPT
’ve,SURFACE,10,0.25,KEPT
absent,SURFACE,9,0.225,KEPT
acknowledgment,SURFACE,9,0.225,KEPT
action,SURFACE,9,0.225,KEPT
alternative,SURFACE,9,0.225,KEPT
assessed,SURFACE,9,0.225,KEPT
child,SURFACE,9,0.225,KEPT
collaborative spirit,SURFACE,9,0.225,KEPT
colleagues,SURFACE,9,0.225,KEPT
contention,SURFACE,9,0.225,KEPT
ct scan,SURFACE,9,0.225,KEPT
days,SURFACE,9,0.225,KEPT
decisions,SURFACE,9,0.225,KEPT
detected,SURFACE,9,0.225,KEPT
diagnostic testing,SURFACE,9,0.225,KEPT
elaboration,SURFACE,9,0.225,KEPT
expand,SURFACE,9,0.225,KEPT
focus,SURFACE,9,0.225,KEPT
hear,SURFACE,9,0.225,KEPT
i welcome,SURFACE,9,0.225,KEPT
increased,SURFACE,9,0.225,KEPT
infection,SURFACE,9,0.225,KEPT
infections,SURFACE,9,0.225,KEPT
manifest,SURFACE,9,0.225,KEPT
multifaceted,SURFACE,9,0.225,KEPT
multiple,SURFACE,9,0.225,KEPT
negative,SURFACE,9,0.225,KEPT
observed,SURFACE,9,0.225,KEPT
patient care,SURFACE,9,0.225,KEPT
patient's history,SURFACE,9,0.225,KEPT
phenotypic,SURFACE,9,0.225,KEPT
primary,SURFACE,9,0.225,KEPT
prioritization,SURFACE,9,0.225,KEPT
profile,SURFACE,9,0.225,KEPT
progressive,SURFACE,9,0.225,KEPT
recommended,SURFACE,9,0.225,KEPT
screening,SURFACE,9,0.225,KEPT
skeletal,SURFACE,9,0.225,KEPT
stage,SURFACE,9,0.225,KEPT
strong,SURFACE,9,0.225,KEPT
thoughtful,SURFACE,9,0.225,KEPT
understanding,SURFACE,9,0.225,KEPT
urgency,SURFACE,9,0.225,KEPT
vigilance,SURFACE,9,0.225,KEPT
action plan,SURFACE,8,0.2,KEPT
adapt,SURFACE,8,0.2,KEPT
admission,SURFACE,8,0.2,KEPT
agreed,SURFACE,8,0.2,KEPT
aspects,SURFACE,8,0.2,KEPT
attention,SURFACE,8,0.2,KEPT
birth,SURFACE,8,0.2,KEPT
brain,SURFACE,8,0.2,KEPT
clearer,SURFACE,8,0.2,KEPT
continuous,SURFACE,8,0.2,KEPT
coupled,SURFACE,8,0.2,KEPT
development,SURFACE,8,0.2,KEPT
developments,SURFACE,8,0.2,KEPT
diagnostic accuracy,SURFACE,8,0.2,KEPT
direction,SURFACE,8,0.2,KEPT
echocardiogram,SURFACE,8,0.2,KEPT
etiology,SURFACE,8,0.2,KEPT
framework,SURFACE,8,0.2,KEPT
functional,SURFACE,8,0.2,KEPT
genetic conditions,SURFACE,8,0.2,KEPT
genetic evaluation,SURFACE,8,0.2,KEPT
guiding,SURFACE,8,0.2,KEPT
health,SURFACE,8,0.2,KEPT
i concur,SURFACE,8,0.2,KEPT
implementation,SURFACE,8,0.2,KEPT
inputs,SURFACE,8,0.2,KEPT
life,SURFACE,8,0.2,KEPT
malignancy,SURFACE,8,0.2,KEPT
multidisciplinary approach,SURFACE,8,0.2,KEPT
parameters,SURFACE,8,0.2,KEPT
pediatric,SURFACE,8,0.2,KEPT
prepare,SURFACE,8,0.2,KEPT
prioritize,SURFACE,8,0.2,KEPT
progress,SURFACE,8,0.2,KEPT
reflections,SURFACE,8,0.2,KEPT
session,SURFACE,8,0.2,KEPT
skeletal anomalies,SURFACE,8,0.2,KEPT
specialist,SURFACE,8,0.2,KEPT
steps,SURFACE,8,0.2,KEPT
summary,SURFACE,8,0.2,KEPT
suspected,SURFACE,8,0.2,KEPT
syndromic conditions,SURFACE,8,0.2,KEPT
timeline,SURFACE,8,0.2,KEPT
timing,SURFACE,8,0.2,KEPT
ultrasound,SURFACE,8,0.2,KEPT
variants,SURFACE,8,0.2,KEPT
’s condition,SURFACE,8,0.2,KEPT
"\""physical",SURFACE,7,0.175,KEPT
activity,SURFACE,7,0.175,KEPT
acute,SURFACE,7,0.175,KEPT
align,SURFACE,7,0.175,KEPT
apparent,SURFACE,7,0.175,KEPT
biopsy,SURFACE,7,0.175,KEPT
chest x-ray,SURFACE,7,0.175,KEPT
children,SURFACE,7,0.175,KEPT
clinically,SURFACE,7,0.175,KEPT
collaborative discussion,SURFACE,7,0.175,KEPT
complicate,SURFACE,7,0.175,KEPT
concluding,SURFACE,7,0.175,KEPT
conjunction,SURFACE,7,0.175,KEPT
counseling,SURFACE,7,0.175,KEPT
critical points,SURFACE,7,0.175,KEPT
day,SURFACE,7,0.175,KEPT
degree,SURFACE,7,0.175,KEPT
developmental delays,SURFACE,7,0.175,KEPT
disorders,SURFACE,7,0.175,KEPT
documented,SURFACE,7,0.175,KEPT
enhance,SURFACE,7,0.175,KEPT
enhances,SURFACE,7,0.175,KEPT
evolving,SURFACE,7,0.175,KEPT
fever,SURFACE,7,0.175,KEPT
future,SURFACE,7,0.175,KEPT
genetic disorder,SURFACE,7,0.175,KEPT
"geographic location.\"",\n\n",SURFACE,7,0.175,KEPT
healthy,SURFACE,7,0.175,KEPT
hereditary conditions,SURFACE,7,0.175,KEPT
holistic,SURFACE,7,0.175,KEPT
implement,SURFACE,7,0.175,KEPT
implementing,SURFACE,7,0.175,KEPT
infectious,SURFACE,7,0.175,KEPT
inflammation,SURFACE,7,0.175,KEPT
initially,SURFACE,7,0.175,KEPT
initiate,SURFACE,7,0.175,KEPT
location,SURFACE,7,0.175,KEPT
mind,SURFACE,7,0.175,KEPT
mmhg,SURFACE,7,0.175,KEPT
monitored,SURFACE,7,0.175,KEPT
mother,SURFACE,7,0.175,KEPT
navigate,SURFACE,7,0.175,KEPT
next steps,SURFACE,7,0.175,KEPT
non-invasive,SURFACE,7,0.175,KEPT
ocular,SURFACE,7,0.175,KEPT
plans,SURFACE,7,0.175,KEPT
positive,SURFACE,7,0.175,KEPT
possibilities,SURFACE,7,0.175,KEPT
prior,SURFACE,7,0.175,KEPT
prioritizing,SURFACE,7,0.175,KEPT
process,SURFACE,7,0.175,KEPT
prominent,SURFACE,7,0.175,KEPT
questions,SURFACE,7,0.175,KEPT
rationale,SURFACE,7,0.175,KEPT
reassess,SURFACE,7,0.175,KEPT
reflection,SURFACE,7,0.175,KEPT
resolution,SURFACE,7,0.175,KEPT
risk factors,SURFACE,7,0.175,KEPT
scenario,SURFACE,7,0.175,KEPT
scheduling,SURFACE,7,0.175,KEPT
specifics,SURFACE,7,0.175,KEPT
systemic symptoms,SURFACE,7,0.175,KEPT
variations,SURFACE,7,0.175,KEPT
x-ray,SURFACE,7,0.175,KEPT
**differential diagnosis**,SURFACE,6,0.15,KEPT
"\""physical examination",SURFACE,6,0.15,KEPT
abdomen,SURFACE,6,0.15,KEPT
abdominal pain,SURFACE,6,0.15,KEPT
acknowledged,SURFACE,6,0.15,KEPT
advanced imaging,SURFACE,6,0.15,KEPT
angles,SURFACE,6,0.15,KEPT
anyone,SURFACE,6,0.15,KEPT
areas,SURFACE,6,0.15,KEPT
assess,SURFACE,6,0.15,KEPT
await,SURFACE,6,0.15,KEPT
bilaterally,SURFACE,6,0.15,KEPT
birth weight,SURFACE,6,0.15,KEPT
born,SURFACE,6,0.15,KEPT
c-reactive protein,SURFACE,6,0.15,KEPT
cardiac,SURFACE,6,0.15,KEPT
cardiac anomalies,SURFACE,6,0.15,KEPT
cardiovascular,SURFACE,6,0.15,KEPT
case discussion,SURFACE,6,0.15,KEPT
clinical presentations,SURFACE,6,0.15,KEPT
cognitive,SURFACE,6,0.15,KEPT
comprehensive care,SURFACE,6,0.15,KEPT
congenital anomalies,SURFACE,6,0.15,KEPT
consider,SURFACE,6,0.15,KEPT
conversation,SURFACE,6,0.15,KEPT
correlate,SURFACE,6,0.15,KEPT
cough,SURFACE,6,0.15,KEPT
critical aspects,SURFACE,6,0.15,KEPT
decision-making,SURFACE,6,0.15,KEPT
deformities,SURFACE,6,0.15,KEPT
detailed,SURFACE,6,0.15,KEPT
detect,SURFACE,6,0.15,KEPT
developmental delay,SURFACE,6,0.15,KEPT
duration,SURFACE,6,0.15,KEPT
dysmorphic features,SURFACE,6,0.15,KEPT
ears,SURFACE,6,0.15,KEPT
echo,SURFACE,6,0.15,KEPT
episode,SURFACE,6,0.15,KEPT
everyone,SURFACE,6,0.15,KEPT
expansion,SURFACE,6,0.15,KEPT
eyes,SURFACE,6,0.15,KEPT
facial dysmorphism,SURFACE,6,0.15,KEPT
facial features,SURFACE,6,0.15,KEPT
family members,SURFACE,6,0.15,KEPT
follow-ups,SURFACE,6,0.15,KEPT
genetic findings,SURFACE,6,0.15,KEPT
genetic syndromes,SURFACE,6,0.15,KEPT
genetic tests,SURFACE,6,0.15,KEPT
geneticists,SURFACE,6,0.15,KEPT
growth,SURFACE,6,0.15,KEPT
hands,SURFACE,6,0.15,KEPT
hospital,SURFACE,6,0.15,KEPT
hypertension,SURFACE,6,0.15,KEPT
imperative,SURFACE,6,0.15,KEPT
improvement,SURFACE,6,0.15,KEPT
inconclusive,SURFACE,6,0.15,KEPT
indicative,SURFACE,6,0.15,KEPT
infectious causes,SURFACE,6,0.15,KEPT
inherited,SURFACE,6,0.15,KEPT
integration,SURFACE,6,0.15,KEPT
interpretation,SURFACE,6,0.15,KEPT
intervention,SURFACE,6,0.15,KEPT
investigating,SURFACE,6,0.15,KEPT
invite,SURFACE,6,0.15,KEPT
isolated,SURFACE,6,0.15,KEPT
key points,SURFACE,6,0.15,KEPT
layer,SURFACE,6,0.15,KEPT
lean,SURFACE,6,0.15,KEPT
left,SURFACE,6,0.15,KEPT
low,SURFACE,6,0.15,KEPT
mild,SURFACE,6,0.15,KEPT
month,SURFACE,6,0.15,KEPT
obesity,SURFACE,6,0.15,KEPT
opinions,SURFACE,6,0.15,KEPT
options,SURFACE,6,0.15,KEPT
organized,SURFACE,6,0.15,KEPT
overlaps,SURFACE,6,0.15,KEPT
path,SURFACE,6,0.15,KEPT
physical findings,SURFACE,6,0.15,KEPT
please share,SURFACE,6,0.15,KEPT
pregnancy,SURFACE,6,0.15,KEPT
proceeding,SURFACE,6,0.15,KEPT
rare,SURFACE,6,0.15,KEPT
recap,SURFACE,6,0.15,KEPT
refinements,SURFACE,6,0.15,KEPT
regular,SURFACE,6,0.15,KEPT
relationship,SURFACE,6,0.15,KEPT
renal,SURFACE,6,0.15,KEPT
renal function,SURFACE,6,0.15,KEPT
renal issues,SURFACE,6,0.15,KEPT
responses,SURFACE,6,0.15,KEPT
short stature,SURFACE,6,0.15,KEPT
significance,SURFACE,6,0.15,KEPT
skeletal abnormalities,SURFACE,6,0.15,KEPT
solid,SURFACE,6,0.15,KEPT
stable,SURFACE,6,0.15,KEPT
standard,SURFACE,6,0.15,KEPT
structural anomalies,SURFACE,6,0.15,KEPT
symptomatology,SURFACE,6,0.15,KEPT
unified,SURFACE,6,0.15,KEPT
visualizing,SURFACE,6,0.15,KEPT
weight,SURFACE,6,0.15,KEPT
worsening,SURFACE,6,0.15,KEPT
accurately,SURFACE,5,0.125,KEPT
actions,SURFACE,5,0.125,KEPT
additionally,SURFACE,5,0.125,KEPT
additions,SURFACE,5,0.125,KEPT
affecting,SURFACE,5,0.125,KEPT
ana,SURFACE,5,0.125,KEPT
antibodies,SURFACE,5,0.125,KEPT
appearance,SURFACE,5,0.125,KEPT
associated,SURFACE,5,0.125,KEPT
associated anomalies,SURFACE,5,0.125,KEPT
baseline,SURFACE,5,0.125,KEPT
begin,SURFACE,5,0.125,KEPT
benefit,SURFACE,5,0.125,KEPT
blood,SURFACE,5,0.125,KEPT
blood pressure,SURFACE,5,0.125,KEPT
brain**,SURFACE,5,0.125,KEPT
cardiology,SURFACE,5,0.125,KEPT
cautious,SURFACE,5,0.125,KEPT
chromosomal abnormalities,SURFACE,5,0.125,KEPT
clarifications,SURFACE,5,0.125,KEPT
clarifying,SURFACE,5,0.125,KEPT
classic,SURFACE,5,0.125,KEPT
clinical manifestations,SURFACE,5,0.125,KEPT
collaborative efforts,SURFACE,5,0.125,KEPT
combined,SURFACE,5,0.125,KEPT
connections,SURFACE,5,0.125,KEPT
connective tissue disorders,SURFACE,5,0.125,KEPT
consanguinity,SURFACE,5,0.125,KEPT
continuous monitoring,SURFACE,5,0.125,KEPT
correlation,SURFACE,5,0.125,KEPT
daily,SURFACE,5,0.125,KEPT
definitively,SURFACE,5,0.125,KEPT
delay,SURFACE,5,0.125,KEPT
diagnostic direction,SURFACE,5,0.125,KEPT
diagnostic efforts,SURFACE,5,0.125,KEPT
differential considerations,SURFACE,5,0.125,KEPT
differential list,SURFACE,5,0.125,KEPT
disagreements,SURFACE,5,0.125,KEPT
disease,SURFACE,5,0.125,KEPT
disturbances,SURFACE,5,0.125,KEPT
dysmorphic,SURFACE,5,0.125,KEPT
effective,SURFACE,5,0.125,KEPT
effectiveness,SURFACE,5,0.125,KEPT
effects,SURFACE,5,0.125,KEPT
endocrinology,SURFACE,5,0.125,KEPT
environmental,SURFACE,5,0.125,KEPT
environmental factors,SURFACE,5,0.125,KEPT
erythrocyte,SURFACE,5,0.125,KEPT
establish,SURFACE,5,0.125,KEPT
evolves,SURFACE,5,0.125,KEPT
excellent,SURFACE,5,0.125,KEPT
exclusion,SURFACE,5,0.125,KEPT
exposure,SURFACE,5,0.125,KEPT
exposure to,SURFACE,5,0.125,KEPT
facial,SURFACE,5,0.125,KEPT
finalization,SURFACE,5,0.125,KEPT
fit,SURFACE,5,0.125,KEPT
genetic panel,SURFACE,5,0.125,KEPT
genetic predispositions,SURFACE,5,0.125,KEPT
geographic,SURFACE,5,0.125,KEPT
guidance,SURFACE,5,0.125,KEPT
height,SURFACE,5,0.125,KEPT
i support,SURFACE,5,0.125,KEPT
i want,SURFACE,5,0.125,KEPT
illuminate,SURFACE,5,0.125,KEPT
indicative of,SURFACE,5,0.125,KEPT
individuals,SURFACE,5,0.125,KEPT
infectious processes,SURFACE,5,0.125,KEPT
inflammatory processes,SURFACE,5,0.125,KEPT
invasive,SURFACE,5,0.125,KEPT
json format,SURFACE,5,0.125,KEPT
juncture,SURFACE,5,0.125,KEPT
leading diagnosis,SURFACE,5,0.125,KEPT
lifestyle,SURFACE,5,0.125,KEPT
limbs,SURFACE,5,0.125,KEPT
list,SURFACE,5,0.125,KEPT
malignancies,SURFACE,5,0.125,KEPT
man,SURFACE,5,0.125,KEPT
measuring,SURFACE,5,0.125,KEPT
metabolic panel,SURFACE,5,0.125,KEPT
monitoring**,SURFACE,5,0.125,KEPT
neurological,SURFACE,5,0.125,KEPT
no significant,SURFACE,5,0.125,KEPT
objections,SURFACE,5,0.125,KEPT
observation,SURFACE,5,0.125,KEPT
obstruction,SURFACE,5,0.125,KEPT
older patients,SURFACE,5,0.125,KEPT
outcome,SURFACE,5,0.125,KEPT
overt,SURFACE,5,0.125,KEPT
pathogens,SURFACE,5,0.125,KEPT
pathway,SURFACE,5,0.125,KEPT
patient management,SURFACE,5,0.125,KEPT
patient's care,SURFACE,5,0.125,KEPT
pattern,SURFACE,5,0.125,KEPT
periodic,SURFACE,5,0.125,KEPT
phenotype,SURFACE,5,0.125,KEPT
priorities,SURFACE,5,0.125,KEPT
proactive approach,SURFACE,5,0.125,KEPT
protocol,SURFACE,5,0.125,KEPT
psychological support,SURFACE,5,0.125,KEPT
recurrence,SURFACE,5,0.125,KEPT
relatives,SURFACE,5,0.125,KEPT
sarcoidosis,SURFACE,5,0.125,KEPT
scenarios,SURFACE,5,0.125,KEPT
screenings,SURFACE,5,0.125,KEPT
secondary to,SURFACE,5,0.125,KEPT
sequencing,SURFACE,5,0.125,KEPT
serum,SURFACE,5,0.125,KEPT
severity,SURFACE,5,0.125,KEPT
shortened,SURFACE,5,0.125,KEPT
situation,SURFACE,5,0.125,KEPT
skeletal dysplasias,SURFACE,5,0.125,KEPT
skeletal features,SURFACE,5,0.125,KEPT
solidifying,SURFACE,5,0.125,KEPT
specialized,SURFACE,5,0.125,KEPT
specific,SURFACE,5,0.125,KEPT
spectrum,SURFACE,5,0.125,KEPT
stand,SURFACE,5,0.125,KEPT
strategy,SURFACE,5,0.125,KEPT
support,SURFACE,5,0.125,KEPT
surveillance,SURFACE,5,0.125,KEPT
symptomatic,SURFACE,5,0.125,KEPT
syndromic,SURFACE,5,0.125,KEPT
syndromic features,SURFACE,5,0.125,KEPT
systemic conditions,SURFACE,5,0.125,KEPT
systemic features,SURFACE,5,0.125,KEPT
systemic inflammation,SURFACE,5,0.125,KEPT
testing plan,SURFACE,5,0.125,KEPT
testing strategy,SURFACE,5,0.125,KEPT
timelines,SURFACE,5,0.125,KEPT
traits,SURFACE,5,0.125,KEPT
treated,SURFACE,5,0.125,KEPT
treated with,SURFACE,5,0.125,KEPT
variability,SURFACE,5,0.125,KEPT
variant,SURFACE,5,0.125,KEPT
vascular issues,SURFACE,5,0.125,KEPT
visualization,SURFACE,5,0.125,KEPT
week,SURFACE,5,0.125,KEPT
